棠枫海,看过,力荐,2019-04-24 02:23:59,如果你不喜欢这部电影，说明他不是为你准备的，故事的终章是为读过故事的人准备的
。,看过,力荐,2019-04-24 00:00:03,献给我人生中最美好的十一年。谢谢你，漫威，谢谢你让我的青春有了一个最完美的结局
凌睿,看过,力荐,2019-04-24 00:01:17,"托尼说好要回归家庭、陪伴家人，可最终还是选择了重出江湖，因为责任和使命，因为“我是钢铁侠”。
美队在《美队1》错过了和卡特的约会，错过了陪伴卡特的70年，《美队3》更是亲自送挚爱上路，感谢导演给了他一个完美的结局。
黑寡妇高尚、豪迈、英勇、无畏，和XX并列最伟大的复仇者。
雷神和XX好好告别、托尼和XX握手言和，让人热泪盈眶。
美队弥补了一生中最大的遗憾；
班纳和浩克和解；
鹰眼与家人团聚；
黑寡妇没有家人，因为复仇者就是她的家人……
结局太完美也太催泪了。
《复联3》化灰英雄集体回归的一幕震撼得无以言表。
最终战的规模丝毫不亚于《指环王》，相比《复联3》更是提高了至少五倍。
尤其是“妇联”出场太惊艳了，完美诠释女性力量。
十一年布局，22部电影，在《复联4》画上圆满的句号。
借用摩根·史塔克的话：漫威我爱你三千遍！"
昊昊的说。,看过,力荐,2019-04-24 02:50:33,"“I AM IRONMAN! ”
既是开始也是结束。谢谢钢铁侠，谢谢漫威给我们带来的欢笑、泪水、感动以及爱你的3000个日日夜夜。"
Rafe,看过,力荐,2019-04-24 03:05:48,钢铁侠成为了美队，美队活成了钢铁侠。
Tel,看过,推荐,2019-04-24 00:11:06,我是一个90后，我曾经很羡慕“上一代人”：40年前的观众，他们的影院里有星战正传三部曲的落幕；20年前的观众，能在影院里看到指环王系列的终章。影迷们的悲欢并不相通，但现在我们也有了共同的记忆：漫威电影宇宙。谢谢你，《复仇者联盟》。
雁落孤山,看过,力荐,2019-04-24 02:52:20,I AM IRONMAN.
梅西,看过,力荐,2019-04-24 02:40:40,凡人之躯 比肩神明 最后真的泪目
X教授的傻儿子,看过,力荐,2019-04-24 03:30:39,五星全给黑寡妇，她是最伟大的复仇者！！！
KarSa,看过,力荐,2019-04-24 04:52:12,谁能想到是一只老鼠拯救了地球呢？
東林Doning,看过,力荐,2019-04-24 00:00:18,"(不剧透，说一下我看复联4的经历)
为了看复联4的零点场，我平时省吃俭用，终于抢到了几百块钱的“皇帝座”，晚上还要翻墙出学校去电影院，看完了以后，还要早起去上课，为了看复联4，我也是拼了！
此生无悔入漫威！"
Theo,看过,力荐,2019-04-24 02:50:39,I love you three thousand times.
Evan☆,看过,力荐,2019-04-24 00:10:08,"看电影时:为了不剧透，为了更好地向奇异博士学习，那就只夸好看吧。
看完电影后:啊啊啊啊啊啊啊啊，我的黑寡妇，我的钢铁侠。
“我们赢了，史塔克先生！”
接受所有的结局，认认真真地说再见！
I love you three thousand times！我爱你三千遍！
I'm Iron Man."
深夜的阿斯伯格,看过,推荐,2019-04-24 00:03:30,对某人而言这就叫有始有终吧（观影提示⚠️没有彩蛋，全片片长181分钟，故事内容169分钟+4分钟的漫威十年人物介绍+8分钟的演职人员字幕）
小轨,看过,还行,2019-04-24 03:05:50,"不打感情分也就合格水准，通篇流水账观感还不如第三部，虽然我一直认为这类片无所谓剧透，不过为了尊重大家不多说了，自己看便是。
最后说一下，钢铁侠作为头号一哥很好地完成了支撑复联的任务，而这个女拳队长无论角色和定位都是彻头彻尾的笑话，新10年靠这种角色基本完蛋。"
哆啦A梦你在吗,看过,力荐,2019-04-24 02:51:09,我爱 小罗伯特·唐尼 / 克里斯·埃文斯 / 克里斯·海姆斯沃斯 / 杰瑞米·雷纳 / 马克·鲁弗洛 / 斯嘉丽·约翰逊  以及漫威所有的人！十年青春，感谢有你，此生不悔！！！
